track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,30,6MhbDWEsAP9Xsgoj0TuEOc,When You Leave (Breathe Carolina Remix),2019-04-19,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.679,0.909,1,-2.929,1,0.105,0.0334,0.0,0.269,0.819,119.885,155080
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,3E3l9Ae226bVoSwoPNuwWv,Love Me Less (Remixes),2019-06-21,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.748,0.831,1,-5.029,1,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,48,1PbOvsQE07RzhUzeaZTldw,Spicy (with Diplo & Charli XCX) [Remixes],2019-10-11,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.814,0.838,11,-5.547,1,0.0763,0.001,0.0223,0.0185,0.959,121.978,255861
6y1UtRcHQU07aUs3oxZ8Yn,Sorry,Joel Corry,75,1PvEp0qeU6o2rm0i2qUC2N,Sorry,2019-04-05,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640
0U6bQIAh6MCGo1xjbIIx2S,Instagram,Dimitri Vegas & Like Mike,81,7FTzcNdsKhMe53orWXsai8,Instagram,2019-07-05,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.765,0.906,8,-2.097,0,0.0965,0.125,0.0,0.423,0.95,96.071,184558
79Vz5MNH7Qe4F7hPKT8tPz,BLUE,Tiësto,75,1WjspDqwIlXKkI7QWGifZ2,BLUE,2019-12-13,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.744,0.725,11,-6.055,1,0.0303,0.018,9.29e-06,0.212,0.904,118.034,167859
7fPuWrlpwDcHm5aHCH5D9t,Roses - Imanbek Remix,SAINt JHN,72,1p5rgTwzlrhJnSdi93zpbd,Roses (Imanbek Remix),2019-09-13,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.784,0.721,8,-5.457,1,0.0506,0.0149,0.00424,0.285,0.895,121.966,176219
5Qnk8vP5g9l5SDQKU3qyYQ,Leave,Borgeous,56,1Vv1feUAbvzBKe6kjhcJOp,Leave,2019-01-25,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.762,0.665,11,-6.92,0,0.0471,0.169,0.0,0.103,0.961,115.946,193640
5up5uXChMJLKyuop9HwtCb,Shotgun (The Wild Remix),George Ezra,63,3pjsiMldUHVmgQCPVyVXAY,Shotgun (The Wild Remix),2018-06-15,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.588,0.757,5,-2.415,1,0.0716,0.327,0.0,0.323,0.836,122.813,191650
4zdQmfTLWgGd5mAX4MUIaX,Turning Up,ARASHI,67,7gjEsXMd3aQgwWCqDjvNsB,Turning Up,2019-11-03,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.769,0.817,1,-5.409,1,0.103,0.0225,1.03e-06,0.244,0.896,118.021,182633
1eIl9qFUGihchPAfSF258T,One in a Million -奇跡の夜に-,GENERATIONS from EXILE TRIBE,60,0uLI5GymNBfcYoWRqMSdef,SHONEN CHRONICLE,2019-11-21,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.746,0.805,10,-4.499,1,0.0683,0.074,0.0,0.0548,0.843,144.983,222932
1SV5ys0BGnN6aEsbS7prwt,I don’t wanna do,SARM,27,6XVrMILrX3enEl9HW9D99w,I don’t wanna do,2020-01-12,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.567,0.865,6,-5.125,1,0.139,0.0127,0.0,0.0546,0.838,187.981,244061
1HDrG1CAVROV1BclXs400N,space shuttle,空音,36,6p4yL3eOsPilQNytFoKIIA,space shuttle,2019-11-20,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.711,0.934,11,-0.7,1,0.0588,0.0445,8.83e-06,0.0537,0.866,124.988,224333
74P2i9IIx0nkki1GVQqx3R,Amazing!,Sakurako Ohara,32,3d6xkK0efdhbbQ5Welmpdr,Amazing!,2020-01-15,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.649,0.856,8,-2.745,1,0.181,0.127,0.0,0.0702,0.892,171.884,199440
00bc7A2CLjp40XNd6ZPZNa,JAM fo'freedom (SASUKE Remix),RUN THE FLOOR,21,7fJ5bWDXYnd7slOCnbTgqJ,THE 4CE,2020-01-15,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.763,0.763,10,-4.176,0,0.0626,0.0298,1.9e-05,0.652,0.953,143.994,211547
64XUlDULbJtK6xDL4mEB0Q,Call My Name - Remix,YUTO,27,6hcjsNf35tn3TvlAwNPPDv,Call My Name (Remix),2019-10-26,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.834,0.823,8,-4.603,1,0.0716,0.09,0.000101,0.0561,0.872,128.006,166523
1RJPz4eFFP7N6VVKMYUS7O,ミズノナカヘ - Car TAX remix,yu-re:meu,16,03sSeRZnThaQK7SSsHhTSy,Unstable Unstoppable,2020-01-11,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.738,0.846,2,-5.929,1,0.0758,0.158,0.0353,0.0282,0.879,125.98,237071
3pzrOuq7Zn1WlL1qes8I57,Obsession,広瀬大地,30,4XCgsXSHk7qB4KDuswRVqV,Obsession,2019-10-23,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.827,0.851,11,-4.589,0,0.103,0.122,2.31e-05,0.0706,0.928,127.993,214132
4vid1h1wAzoZoEKJVXoUgB,Shine,DJ PIGER,35,31KdOeRhAbAPMizIrujMdy,Shine,2019-10-16,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.779,0.721,8,-8.409,0,0.0487,0.00618,0.00696,0.239,0.84,121.948,207213
34Yb5ldkgXMieDcFIRQPdh,Upside Down,RYPPHYPE,26,7cu8fQWplGxQOcncMNOpA4,Upside Down,2019-11-20,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.701,0.927,5,-3.21,0,0.0644,0.31,0.0,0.0505,0.832,119.991,208530
4EyjvMJ6llJ5stWDlwo8v6,Bitten By You,Monkey Majik,40,15fTuTLuGBLEjZCb35WZNQ,Bitten By You,2019-10-23,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.677,0.75,9,-5.824,1,0.033,0.14,0.000249,0.0363,0.967,114.958,242627
2KJPYFHskvDeuAZ1sbbBys,Nobody,Beverly,31,03VjZd6b2MZHJVCdBNmasF,INFINITY,2019-12-04,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.561,0.929,11,-1.687,1,0.0288,0.182,0.000776,0.245,0.898,190.05,213147
1Jr8RbuOnvMHsMHcWgZ9Do,Like always,X1,58,09sGMSeeP4bZQOCTpgKGX8,QUANTUM LEAP,2019-08-27,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.781,0.879,5,-3.725,1,0.0533,0.0309,0.0,0.0546,0.836,119.997,204893
24nK8tW7Pt3Inh2utttuoG,HIP,Mamamoo,81,7CucpzwxAZ6kHmctI9eo4X,reality in BLACK,2019-11-14,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.782,0.731,3,-4.581,0,0.143,0.0376,3.15e-05,0.0956,0.824,138.032,195307
3BPoSr2pO34Aan6alFfVto,BBoom BBoom,MOMOLAND,70,5vt2sEP5J0VNbYXoA7h2k4,GREAT!,2018-01-03,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,208863
